Universidad de Origen:;Título:;Nº referencia de la solicitud:;Tipo:;Apellidos y Nombre/ Persona Jurídica:;Nombre/ Persona Jurídica-C2:;Nombre y apellidos-C2:;Solicitada:;Fecha solicitud:;Denegada:;Concedida:;Nº BOPI /Asiento registral/Registro VV:;¿Abandonada?;Códigos CIP:;Breve Descripción/Resumen:;Palabras Clave:;Clasificación: (Códigos UNESCO);País/es de prioridad:;Área Nacional;Área Europea;Área PCT;Otros (especificar);Posible aplicación industrial;Especificar el nº de referencia;Observaciones;Estudio previo (si/no);Plan de comecialización (si/no);Plan de negocio (si/no);S/N;Posible aplicación industrial:;Observaciones:
Valladolid;SISTEMA Y MÉTODO PARA ANÁLISIS DE MATERIA PRIMA;P202231006;Patente;ARÉVALO GALÁN Vanesa, Casado Sanz Milagros.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;22/11/2022;NO;NO;;NO;;SISTEMA Y MÉTODO PARA ANÁLISIS DE MATERIA PRIMA;análisis, materia prima;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;Juego de construcción para niños;P202231004;Patente;Delgado Martín Alejandra, Moral garcía Alvaro, Gómez Méndez Ruben.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;22/11/2022;NO;NO;;NO;;Juego de construcción para niños;juego construcción, niños;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;PROCEDIMIENTO DE OBTENCIÓN DE MEMBRANAS DE GRAFENO NANOPOROSAS, MEMBRANAS OBTENIDAS Y SU USO;P202231002;Patente;de la Fuente Ballesteros Adrián.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;21/11/2022;NO;NO;;NO;;PROCEDIMIENTO DE OBTENCIÓN DE MEMBRANAS DE GRAFENO NANOPOROSAS, MEMBRANAS OBTENIDAS Y SU USO;obtención grafeno, membranas;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;Dispositivo de respuesta en escuelas;P202230985;Patente;Fuentes Moncayola Elisa, Charouni Moutaa Mohamed.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;15/11/2022;NO;NO;;NO;;Dispositivo de respuesta en escuelas;respuestas, escuelas;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;ALIMENTO ANÁLOGO DE LA CARNE QUE COMPRENDE MICOPROTEÍNAS Y MICROALGAS;P202230984;Patente;de la Fuente Ballesteros Adrián, Vela Corona Antonio José.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;15/11/2022;NO;NO;;NO;;ALIMENTO ANÁLOGO DE LA CARNE QUE COMPRENDE MICOPROTEÍNAS Y MICROALGAS;carne, algas, microproteinas;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;DISPOSITIVO PORTÁTIL DE LECTURA EN BRAILLE PARA PERSONAS CON DISCAPACIDAD VISUAL;U202231834;Modelo de utilidad;Perez Callejo Sergio, Merayo Álvarez Noemí.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;08/11/2022;NO;NO;;NO;;DISPOSITIVO PORTÁTIL DE LECTURA EN BRAILLE PARA PERSONAS CON DISCAPACIDAD VISUAL;Lectura, braile, discapacidad visual;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;Software de control del Sistema de Bloqueo Solar Inteligente;765-995064;Registro de Propiedad Intelectual;Mario Perez Rodriguez.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;07/11/2022;No;;;No;;;bloque solar;;;;;;;;;;SI;No;No;;España;
Valladolid;MÉTODO PARA LA OBTENCIÓN DE POLICAPROLACTONA (PCL) A PARTIR DE POLICAPROLACTAMA (NYLON-6);P202230932;Patente;Tomillo Barrio GONZALO, Gutierrez Fradejas Raúl.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;28/10/2022;NO;NO;;NO;;MÉTODO PARA LA OBTENCIÓN DE POLICAPROLACTONA (PCL) A PARTIR DE POLICAPROLACTAMA (NYLON-6);OBTENCIÓN DE POLICAPROLACTONA, PCL, NYLON-6;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;Dispositivo de iluminación;P202230917;Patente;López Pérez Lucía.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;25/10/2022;NO;NO;;NO;;Dispositivo de iluminación;iluminacion, lampara;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;Control de movilidad de un robot en cirugías laparoscópicas por reorientación mediante el contacto;765-977701;Registro de Propiedad Intelectual;Carlos Fonturbel Mediavilla.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;24/10/2022;No;;;No;;;laparoscopia;;;;;;;;;;SI;No;No;;España;
Valladolid;SISTEMA DE BLOQUEO SOLAR INTELIGENTE;P202230898;Patente;Pérez Rodríguez Mario.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;19/10/2022;NO;NO;;NO;;SISTEMA DE BLOQUEO SOLAR INTELIGENTE;bloqueo solar, sistema inteligente;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;Trampa para la captura de artrópodos;P202230882;Patente;Fernandez Martinez Diego.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;13/10/2022;NO;NO;;NO;;Trampa para la captura de artrópodos;trampa, insectos, artrópodos;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;Sistema de producción de biogás;P202230870;Patente;Carcía Álvaro Alfonso, de Godos Crespo Ignacio, Muñoz Torre Raúl, Hermosilla Redondo Daphne.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;10/10/2022;NO;NO;;NO;;Sistema de producción de biogás;biogás;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;Guia de recursos para la prevención y abordaje del bulling en la formación inicial del profesorado de la Universidad de Valladolid;765-958049;Registro de Propiedad Intelectual;Patricia Gonzalez Arratia.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;06/10/2022;no;;;No;;;bulling;;;;;;;;;;SI;No;No;;España;
Valladolid;"SISTEMA DE DESINFECCIÓN Y DESCONTAMINACIÓN DE AGUAS
RESIDUALES Y ACUÍFEROS CONTAMINADOS";P202230816;Patente;Carlos Sanz Miguel.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;22/09/2022;NO;NO;;NO;;"SISTEMA DE DESINFECCIÓN Y DESCONTAMINACIÓN DE AGUAS
RESIDUALES Y ACUÍFEROS CONTAMINADOS";Desinfeccióm, aguas residuales, acuíferos;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;DISPOSITIVO DE MONITORIZACIÓN DE CONTAMINACIÓN Y SISTEMA QUE LO COMPRENDE;U202231491;Modelo de utilidad;Casado Rodríguez Míriam.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;14/09/2022;NO;NO;;NO;;DISPOSITIVO DE MONITORIZACIÓN DE CONTAMINACIÓN Y SISTEMA QUE LO COMPRENDE;monitorización, contaminazión;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;"e-poliTrauma: Aplicación móvil para la evaluación inicial del
paciente politraumatizado";765-887553;Registro de Propiedad Intelectual;Isabel De la Torre Díaz, Miguel Cantón González, Francisco Martín Rodriguez.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;03/08/2022;No;No;;No;;;politraumatismos;;;;;;;;;;SI;No;No;;España;
Valladolid;NANOMATERIAL BASADO EN EL AUTOENSAMBLAJE DE g-C3N4 Y OLIGÓMEROS DE QUITOSANO, PROCESO DE OBTENCIÓN Y USOS;P202230688;Patente;Eva Sanchez Hernandez, Alberto Santiago Aliste, Jesús Martin Gil, Pablo Martín Ramos.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;20/07/2022;NO;NO;;NO;;;;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;Sistema de climatización y container que lo comprende;U202231210;Modelo de utilidad;Mario Gómez Carnero, Vicente Garrido Freijanes, Miguel Villagrá García.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;20/07/2022;NO;NO;;NO;;Sistema de climatización y container que lo comprende;climatizacion;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;LLAVE AJUSTABLE;U202231174;Modelo de utilidad;Celia Andrés Juan, EDUARDO PÉREZ LEBEÑA.;UNIVERSIDAD DE VALLADOLID, SISTEMAS DE BIOTECNOLOGÍA Y RECURSOS NATURALES, S.L;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;12/07/2022;NO;NO;;NO;;;;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;COMPLEJO DE INCLUSIÓN DE TRIPTÓFANO Y ARGININA, COMPOSICIÓN FERTILIZANTE, BIOESTIMULANTE Y ANTIMICROBIANA QUE LO COMPRENDE, SU MÉTODO DE OBTENCIÓN Y SU USO;P202230491;Patente;CELIA ANDRÉS JUAN, EDUARDO PÉREZ LEBEÑA, ALBERT VIRGILI OLIVÉ.;UNIVERSIDAD DE VALLADOLID, COMERCIAL QUÍMICA MASSÓ;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;06/06/2022;NO;NO;;NO;;"COMPLEJO DE INCLUSIÓN DE TRIPTÓFANO Y ARGININA,
COMPOSICIÓN FERTILIZANTE, BIOESTIMULANTE Y ANTIMICROBIANA
QUE LO COMPRENDE, SU MÉTODO DE OBTENCIÓN Y
SU USO";triptofano, arginina, fertilizante, bioestimulante, antimicrobiana;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;"EQUIPO PARA LA RECUPERACIÓN DE AMONIACO EN FLUIDOS
CON ALTO CONTENIDO EN NITRÓGENO AMONIACAL";U202230762;Modelo de utilidad;Mercedes Sánchez Báscones, Juan Manuel Antolín Rodriguez, Mª Cruz García González, Berta Riaño Irazábal, Beatriz Molinuevo Salces.;"UNIVERSIDAD DE VALLADOLID
INSTITUTO TECNOLÓGICO AGRARIO DE CASTILLA Y LEON (ITACYL)
UNIVERSIDAD DE VALLADOLID";"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;06/05/2022;NO;NO;;NO;;"EQUIPO PARA LA RECUPERACIÓN DE AMONIACO EN FLUIDOS
CON ALTO CONTENIDO EN NITRÓGENO AMONIACAL";recuperación amoniaco. Fluidos, granjas, nitrogeno amoniacal;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;Método y Sistema para inspeccionar módulos de plantas fotovoltaicas;U202230676;Modelo de utilidad;Álvaro Martín Buenaposada, Ángel Moretón Fernández, Juan Jimenez López, Miguel Ángel Gonzalez rebollo, Cristian Terrados Lopez.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;18/04/2022;NO;NO;;NO;;Método y Sistema para inspeccionar módulos de plantas fotovoltaicas;modulos solares, fotovoltaico, inspeccion;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;OCULAR BANDAGE: Silk-Eye;EP22382323.0;Patente;Rocio GUTIÉRREZ CONTRERAS, Mar Fernandez Villar, Susana MARCOS CELESTINO, Andrés DE LA HOZ DURÁN, Carmen Martinez.;UNIVERSIDAD DE VALLADOLID. CSIC;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;04/04/2022;NO;NO;;NO;;socular bandage;sistema ocular;;España;SI;SI;NO;;;;;SI;NO;NO;;SI;
Valladolid;Dispositivo de medición para una estructura arquitectónica;P202230280;patente;Luis Alfonso Basterra Otero, Alberto Izquierdo Fuente, Juan José Villacorta Calvo, Lara Del Val Puente, Antolín Lorenzana Ibán, Luis Acuña Rello, Milagros Casado Sanz, Jose Antonio Balmori Roiz, Roberto Diego Martínez López, Gamaliel López Rodríguez, Álvaro Magdaleno González.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;28/03/2022;NO;NO;;NO;;Dispositivo de medición para una estructura arquitectónica;medición, estructura, arquitectura;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;SISTEMA DE APARCAMIENTO AUTÓNOMO DE VEHÍCULOS, SISTEMA DE GUIADO AUTÓNOMO DE UN VEHÍCULO Y APARCAMIENTO PARA EL ESTACIONAMIENTO AUTÓNOMO DE VEHÍCULOS;U202230479;Modelo de utilidad;Samuel Pilar Arnanz, Ignacio Royuela González, Adrián Mazaira Hernández, Mario Martín Fernández, Juan Carlos Aguado Manzano.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;23/03/2022;NO;NO;;NO;;"SISTEMA DE APARCAMIENTO AUTÓNOMO DE VEHÍCULOS,
SISTEMA DE GUIADO AUTÓNOMO DE UN VEHÍCULO Y APARCAMIENTO
PARA EL ESTACIONAMIENTO AUTÓNOMO DE VEHÍCULOS";aparcamiento autónomo, vehículo, guiado;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;COMPOSICIÓN INSECTICIDA PARA VEHICULAR TERPENOS Y ACEITES ESENCIALES, SOLUCIÓN INSECTICIDA, MÉTODO DE OBTENCIÓN Y SU USO COMO INSECTICIDA;P202230210;patente;Celia Andrés Juan, EDUARDO PÉREZ LEBEÑA, ALBERT VIRGILI OLIVÉ.;UNIVERSIDAD DE VALLADOLID, CIAL QUIM. MASSO;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;15/03/2022;NO;NO;;NO;;"COMPOSICIÓN INSECTICIDA PARA VEHICULAR TERPENOS Y
ACEITES ESENCIALES, SOLUCIÓN INSECTICIDA, MÉTODO DE
OBTENCIÓN Y SU USO COMO INSECTICIDA";insecticida, terpenos, aceites esenciales;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;LLAVE AJUSTABLE;P202230162;Patente;Celia Andrés Juan, EDUARDO PÉREZ LEBEÑA.;"UNIVERSIDAD DE VALLADOLID, SISTEMAS DE BIOTECNOLOGÍA Y RECURSOS NATURALES, S.L.""";"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;02/03/2022;NO;NO;;NO;;;;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;Estructura metálica para la simulación de incendios;P202230122 ;patente;Juncal Espinosa Prieto, Felicidad López Sainz, Pablo Martín Pinto, Evelio Alonso Ganado.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;16/02/2022;NO;NO;;NO;;Estructura metálica para la simulación de incendios;estructura, incendios;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;"SISTEMA Y PROCESO DE PREPARACIÓN Y DISTRIBUCIÓN DE MUESTRAS PARA ANÁLISIS COMBINADO MEDIANTE
ESPECTROSCOPÍA RAMAN Y CROMATOGRAFÍA LÍQUIDA";P202230113;Patente;Marco Veneranda, Guillermo Eduardo Lopez Reyes, Jose Antonio Manrique Martinez, Fernando Rull Perez.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;14/02/2022;NO;NO;;NO;;"SISTEMA Y PROCESO DE PREPARACIÓN Y DISTRIBUCIÓN DE
MUESTRAS PARA ANÁLISIS COMBINADO MEDIANTE
ESPECTROSCOPÍA RAMAN Y CROMATOGRAFÍA LÍQUIDA";muestras, espectroscopia raman, cromatografía;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;DISPOSITIVO DE PROTECCIÓN CONTRA EL CONTAGIO DE VIRUS EN MESAS COMPARTIDAS;P202230097;Patente;Javier María Rey Hernandez, Francisco Jose Valbuena García, Julio Grijalba Bengoetxea, Eloy Velasco Gomez, Alberto Grijalba Bengoetxea, Alberto MEISS RODRIGUEZ, Sergio Díez López, carlos Sanchez del Río, Pedro Sacha de la Mata, Rafael Diaz vega, Daniel Pérez Herrero, Borja ROMAN CAPELASTEGUI.;UNIVERSIDAD DE VALLADOLID, VEGA INGENIERÍA;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;09/02/2022;NO;NO;;NO;;"DISPOSITIVO DE PROTECCIÓN CONTRA EL CONTAGIO DE VIRUS
EN MESAS COMPARTIDAS";proteccion, coronavirus, mesas compartidas;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;Dispositivo portátil de monitorización de señales fisiológicas y procedimiento asociado;P202230079;Patente;Borja Fernandez Villar, Juan Carlos Fraile MARINERO, Javier Perez Turiel.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;02/02/2022;NO;NO;;NO;;Dispositivo portátil de monitorización de señales fisiológicas y procedimiento asociado;monitorizacion, señales fisiologicas;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
Valladolid;Dispositivo de monitorización de movimientos corporales y procedimiento asociado;P202131131;Patente;Javier Gonzalez Alonso, Mario Martinez Zarzuela, David Oviedo Pastor.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;07/12/2021;NO;NO;;NO;;Dispositivo de monitorización de movimientos corporales y procedimiento asociado;monitorizacion, movimiento corporal;;España;SI;NO;NO;;;;;SI;NO;NO;;SI;
